gene,rna_rep1,rna_rep2
0610009B22Rik,0.742857142857143,0.615384615384615
0610010F05Rik,0.557692307692308,0.930232558139535
0610030E20Rik,0.555555555555556,0.411764705882353
1110038F14Rik,0.620689655172414,0.585714285714286
1110051M20Rik,0.423076923076923,0.634146341463415
1110059E24Rik,0.444444444444444,0.453333333333333
1190007I07Rik,0.734265734265734,0.48
1500011B03Rik,0.21875,0.782608695652174
1700017B05Rik,0.387387387387387,0.645454545454546
1700019D03Rik,0,0
1700025G04Rik,0.516129032258065,0.733333333333333
1700037H04Rik,0.827586206896552,0.882352941176471
1700123O20Rik,0.39344262295082,0.327586206896552
1810030O07Rik,0,0
1810037I17Rik,0.39622641509434,0.468208092485549
1810055G02Rik,0.633928571428571,0.519685039370079
2210016F16Rik,0.276041666666667,0.423728813559322
2210016L21Rik,0.535353535353535,0.290909090909091
2310022A10Rik,0.555555555555556,0.65625
2310022B05Rik,0.736842105263158,0.636363636363636
2310033P09Rik,0.541666666666667,0.521739130434783
2310061I04Rik,0.576086956521739,0.541176470588235
2410131K14Rik,0.415841584158416,0.453703703703704
2510039O18Rik,0.439276485788114,0.4
2610001J05Rik,0.351851851851852,0.435897435897436
2610008E11Rik,0.827586206896552,0.333333333333333
2610021A01Rik,0.602739726027397,0.4375
2610044O15Rik8,0.857142857142857,0.730769230769231
2610318N02Rik,0.6,0.695652173913043
2610507B11Rik,0.589508742714405,0.448954489544895
2700049A03Rik,0.42,0.553524804177546
2700062C07Rik,0.466666666666667,0
2810004N23Rik,0.728971962616822,0.710610932475884
2810006K23Rik,0.529411764705882,0.5
2900026A02Rik,0.583333333333333,0.271186440677966
3110040N11Rik,0.611111111111111,0.758620689655172
3110082I17Rik,0.451612903225806,0.547619047619048
4833420G17Rik,0.661157024793388,0.474576271186441
4833439L19Rik,0.42,0.264705882352941
4930402H24Rik,0.538461538461538,0.222222222222222
4930404N11Rik,0.595744680851064,0
4930452B06Rik,0.602836879432624,0.451612903225806
4930453N24Rik,0.561290322580645,0.25974025974026
4930503L19Rik,0.519083969465649,0.567307692307692
4930579G24Rik,0.391304347826087,0.222222222222222
4931406C07Rik,0.653846153846154,0.55
4931406P16Rik,0.53968253968254,0.407185628742515
4931414P19Rik,0.568627450980392,0.166666666666667
4931428F04Rik,0.736842105263158,0.222222222222222
4932438A13Rik,0.427350427350427,0.613259668508287
5031439G07Rik,0.58433734939759,0.6
5430403G16Rik,0.666666666666667,1
6030458C11Rik,0.430730478589421,0.364902506963788
8030462N17Rik,0.45,0.692307692307692
9030624G23Rik,0.0625,0
9130401M01Rik,0.700516351118761,0.594117647058824
9430015G10Rik,0.707317073170732,0.646153846153846
9430038I01Rik,0.764705882352941,0.543859649122807
9930021J03Rik,0.476635514018692,0.375
9930104L06Rik,0.548387096774194,0.956521739130435
A2m,0.545454545454545,1
A430005L14Rik,0.562814070351759,0.634854771784232
A430033K04Rik,0.406779661016949,0.4
A930004D18Rik,0,0
A930007A09Rik,0.547619047619048,0
Aacs,0.348484848484849,0.28030303030303
Aagab,0.5,0.428571428571429
Aak1,0.35,0.19047619047619
Aamp,0.484018264840183,0.581818181818182
Aar2,0.431818181818182,0.657894736842105
Aard,0.764705882352941,0.472222222222222
Aars,0.67741935483871,0.629557291666667
Aars2,0.473684210526316,0.561497326203209
Aasdh,0.653846153846154,0.674922600619195
Aasdhppt,0.574468085106383,0.421052631578947
Aatf,0.607594936708861,0.590717299578059
Abca2,0.425,0.744186046511628
Abca3,0.513888888888889,0.423076923076923
Abca7,0.208955223880597,0.309090909090909
Abcb10,0.842857142857143,0.795031055900621
Abcb1a,0.25,0
Abcb1b,0.436893203883495,0.564705882352941
Abcb6,0.651785714285714,0.659090909090909
Abcb7,0,0
Abcb8,0.425373134328358,0.796791443850267
Abcc1,0.496987951807229,0.52962962962963
Abcc10,0.642201834862385,0.547945205479452
Abcc3,0.727272727272727,1
Abcc4,0.480314960629921,0.658898305084746
Abcc5,0.43609022556391,0.295031055900621
Abcd3,0.527426160337553,0.383435582822086
Abcd4,0.515695067264574,0.608
Abcf2,0.5,0.442708333333333
Abcf3,0.621621621621622,0.716666666666667
Abhd11,0.563829787234043,0.576923076923077
Abhd12,0.65,0.518518518518518
Abhd13,0.527777777777778,0.75
Abhd17a,0.547945205479452,0.213333333333333
Abhd17b,0.478260869565217,0.181818181818182
Abhd2,0.641509433962264,0.448979591836735
Abhd4,0.596153846153846,0.81651376146789
Abi1,0.702479338842975,0.222222222222222
Abi2,0.727272727272727,0
Abl2,0.597014925373134,0.426229508196721
Abr,0.582474226804124,0.64804469273743
Abracl,0.701754385964912,0.304347826086957
Abraxas1,0.155555555555556,0.477272727272727
Abraxas2,0.534883720930233,0.573033707865168
Abtb1,0.610294117647059,0.669811320754717
Abtb2,0.846153846153846,0.346153846153846
Acaa2,0.337016574585635,0.443243243243243
Acaca,0.426666666666667,0.492063492063492
Acacb,0.357142857142857,0.357357357357357
Acad10,0.614457831325301,0.581395348837209
Acad11,0.410714285714286,0.0487804878048781
Acad12,0.686274509803922,0.5
Acad9,0.376146788990826,0.512820512820513
Acadl,0.661016949152542,0.651515151515151
Acadm,0.593360995850622,0.437652811735941
Acads,0.487551867219917,0.313152400835073
Acadsb,0.381679389312977,0.177777777777778
Acadvl,0.45,0.45
Acap1,0.454545454545455,0.3125
Acap3,0.8,0.761363636363636
Acat1,0.625,0.352941176470588
Acat2,0.580357142857143,0.602409638554217
Acbd4,0.480769230769231,1
Acbd5,0.511111111111111,0.767857142857143
Acbd6,0.452380952380952,0.445454545454545
Accs,0.45,0.957894736842105
Accsl,0.40625,0.380281690140845
Acd,0.538135593220339,0.668032786885246
Acer3,1,0.586206896551724
Acin1,0.502405498281787,0.574025974025974
Ackr3,0.512820512820513,0.275862068965517
Acly,0.481288981288981,0.460130718954248
Aco1,0.436339522546419,0.414957780458384
Aco2,0.502377179080824,0.467105263157895
Acot13,0.194174757281553,0.385542168674699
Acot7,0.311475409836066,0.287878787878788
Acot8,0.470588235294118,0.342857142857143
Acot9,0,0
Acox1,0.536231884057971,0.295774647887324
Acox3,0.24390243902439,0.96969696969697
Acp5,0.615384615384615,0.75
Acp6,0.586538461538462,0.699115044247788
Acrbp,0.509433962264151,0.411764705882353
Acsbg3,0.254237288135593,0.192307692307692
Acsf2,0.3125,0.0857142857142857
Acsf3,0.486486486486487,0.445945945945946
Acsl1,0.871794871794872,0.923076923076923
Acsl3,0.556213017751479,0.522012578616352
Acsl4,0,0
Acsl5,0.433734939759036,0.227272727272727
Acss1,0.289156626506024,0.452830188679245
Acss2,0.315789473684211,1
Actl6a,0.402130492676431,0.354572713643178
Actn1,0.460526315789474,0.479032258064516
Actn3,0.321428571428571,0.260869565217391
