gene,long_rep1_ASE_pat,long_rep1_ASE_mat,long_rep1_pat_ratio,long_rep1_longread_def,long_rep2_ASE_pat,long_rep2_ASE_mat,long_rep2_pat_ratio,long_rep2_longread_def
1110038F14Rik,22,20,0.523809523809524,none,31,20,0.607843137254902,none
1190007I07Rik,46,30,0.605263157894737,none,36,38,0.486486486486487,none
2210016F16Rik,21,46,0.313432835820896,none,30,35,0.461538461538462,none
2610507B11Rik,41,86,0.322834645669291,none,18,38,0.321428571428571,none
3110082I17Rik,60,40,0.6,none,40,26,0.606060606060606,none
4833439L19Rik,27,51,0.346153846153846,none,25,30,0.454545454545455,none
6030458C11Rik,7,34,0.170731707317073,maternal,17,25,0.404761904761905,none
9130401M01Rik,96,81,0.542372881355932,none,133,54,0.711229946524064,none
A430005L14Rik,65,67,0.492424242424242,none,33,40,0.452054794520548,none
Aars,210,82,0.719178082191781,none,252,118,0.681081081081081,none
Aatf,44,35,0.556962025316456,none,34,34,0.5,none
Abcc5,20,42,0.32258064516129,none,19,54,0.26027397260274,none
Abcd3,28,26,0.518518518518518,none,25,17,0.595238095238095,none
Abhd11,42,45,0.482758620689655,none,48,44,0.521739130434783,none
Abhd4,29,20,0.591836734693878,none,28,26,0.518518518518518,none
Abracl,38,24,0.612903225806452,none,28,28,0.5,none
Acaca,47,29,0.618421052631579,none,24,24,0.5,none
Acadl,46,40,0.534883720930233,none,41,17,0.706896551724138,none
Acadm,52,38,0.577777777777778,none,76,59,0.562962962962963,none
Acads,19,47,0.287878787878788,none,31,49,0.3875,none
Acd,38,20,0.655172413793103,none,31,20,0.607843137254902,none
Acly,126,138,0.477272727272727,none,142,125,0.531835205992509,none
Acsl1,44,17,0.721311475409836,none,35,12,0.74468085106383,none
Acsl3,52,38,0.577777777777778,none,41,42,0.493975903614458,none
Actl6a,115,173,0.399305555555556,none,108,144,0.428571428571429,none
Actn1,74,81,0.47741935483871,none,65,73,0.471014492753623,none
Actn4,66,67,0.496240601503759,none,54,51,0.514285714285714,none
Actr10,41,56,0.422680412371134,none,38,37,0.506666666666667,none
Actr1a,31,34,0.476923076923077,none,32,31,0.507936507936508,none
Actr8,20,32,0.384615384615385,none,25,22,0.531914893617021,none
Acy1,37,28,0.569230769230769,none,32,36,0.470588235294118,none
Add1,26,24,0.52,none,26,36,0.419354838709677,none
Adh5,317,308,0.5072,none,209,194,0.518610421836228,none
Adi1,33,39,0.458333333333333,none,32,32,0.5,none
Adk,59,79,0.427536231884058,none,50,36,0.581395348837209,none
Adsl,69,115,0.375,none,63,102,0.381818181818182,none
Afdn,36,33,0.521739130434783,none,19,22,0.463414634146341,none
Aff4,21,32,0.39622641509434,none,27,24,0.529411764705882,none
Afg3l1,77,34,0.693693693693694,none,38,29,0.567164179104478,none
Afg3l2,42,47,0.471910112359551,none,41,43,0.488095238095238,none
Aga,42,3,0.933333333333333,paternal,38,5,0.883720930232558,paternal
Agfg1,65,87,0.427631578947368,none,47,77,0.379032258064516,none
Aggf1,43,50,0.462365591397849,none,21,33,0.388888888888889,none
Ago2,27,32,0.457627118644068,none,31,38,0.449275362318841,none
Agrn,25,21,0.543478260869565,none,31,16,0.659574468085106,none
Ahctf1,55,51,0.518867924528302,none,38,40,0.487179487179487,none
Ajuba,88,89,0.497175141242938,none,44,51,0.463157894736842,none
Akap12,238,303,0.43992606284658,none,180,194,0.481283422459893,none
Aldh18a1,49,50,0.494949494949495,none,50,53,0.485436893203884,none
Aldh2,81,76,0.515923566878981,none,33,43,0.434210526315789,none
Aldh7a1,60,77,0.437956204379562,none,44,39,0.530120481927711,none
Aldh9a1,132,76,0.634615384615385,none,92,43,0.681481481481481,none
Alg11,48,19,0.716417910447761,none,29,19,0.604166666666667,none
Alkbh2,32,27,0.542372881355932,none,35,36,0.492957746478873,none
Alkbh5,39,35,0.527027027027027,none,47,38,0.552941176470588,none
Alpl,165,119,0.580985915492958,none,169,129,0.567114093959732,none
Anapc1,43,52,0.452631578947368,none,41,39,0.5125,none
Anapc5,238,199,0.544622425629291,none,224,211,0.514942528735632,none
Ankrd10,103,38,0.730496453900709,none,78,19,0.804123711340206,paternal
Ankrd13a,24,17,0.585365853658537,none,31,20,0.607843137254902,none
Ankrd37,26,15,0.634146341463415,none,42,19,0.688524590163934,none
Anln,61,52,0.539823008849557,none,49,51,0.49,none
Anxa11,36,27,0.571428571428571,none,27,27,0.5,none
Anxa6,91,58,0.610738255033557,none,77,47,0.620967741935484,none
Anxa7,91,118,0.435406698564593,none,72,108,0.4,none
Ap1g1,67,19,0.779069767441861,none,56,21,0.727272727272727,none
Ap2a1,60,61,0.495867768595041,none,44,46,0.488888888888889,none
Ap2a2,55,60,0.478260869565217,none,49,53,0.480392156862745,none
Ap3b1,15,34,0.306122448979592,none,18,35,0.339622641509434,none
