Gene,alt_mod_ratio,ref_mod_ratio,bias_pvalue
0610009B22Rik_497,0.0952380952380952,0.321428571428571,0.023221
1110038F14Rik_935,0.793103448275862,0.9,0.136271
1110038F14Rik_953,0.833333333333333,0.761904761904762,0.268875
1810009A15Rik_609,0.527777777777778,0.59375,0.173178
1810058I24Rik_508,0.868421052631579,0.850746268656716,0.374766
1810058I24Rik_581,0.852459016393443,0.855072463768116,0.47577
2210016F16Rik_1002,0.782608695652174,0.714285714285714,0.292016
2210016F16Rik_1017,0.814814814814815,0.848484848484849,0.372137
2410002F23Rik_3213,0.676470588235294,0.55,0.184784
2410002F23Rik_3289,0.540540540540541,0.636363636363636,0.234236
2410002F23Rik_3438,0.658536585365854,0.458333333333333,0.055767
2410002F23Rik_3756,0.4,0.476190476190476,0.301022
2610507B11Rik_6836,0.727272727272727,0.620689655172414,0.20367
2610507B11Rik_6857,0.818181818181818,0.8,0.43517
2610507B11Rik_6921,0.782608695652174,0.633333333333333,0.115272
2810004N23Rik_1346,0.908396946564885,0.35,1e-07
3110082I17Rik_825,0.848484848484849,0.904761904761905,0.2669
3110082I17Rik_1200,0.757575757575758,0.681818181818182,0.250503
3110082I17Rik_1269,0.566666666666667,0.5,0.342735
4930453N24Rik_741,0.65,0.642857142857143,0.484317
4930453N24Rik_1003,0.904761904761905,0.923076923076923,0.407331
4930453N24Rik_1458,0.65,0.62962962962963,0.446478
9130401M01Rik_155,0.414634146341463,0.414634146341463,0.023221
A430005L14Rik_233,0.464285714285714,0.5,0.396504
A430005L14Rik_366,0.3,0.394736842105263,0.201832
A430005L14Rik_998,0.676470588235294,0.72972972972973,0.329096
Aamp_1529,0.85,0.901639344262295,0.173646
Aars_862,0.430379746835443,0.416666666666667,0.441837
Aars_1608,0.548076923076923,0.5,0.276391
Aars_3285,0.486238532110092,0.507462686567164,0.339116
Aars_3642,0.531791907514451,0.540540540540541,0.438285
Aasdhppt_908,0.870967741935484,0.8,0.178631
Abcf1_2803,0.75609756097561,0.745098039215686,0.44506
Abcf1_2942,0.555555555555556,0.571428571428571,0.450167
Abcf1_2979,0.808510638297872,0.740740740740741,0.205396
Abcf1_3036,0.976190476190476,0.91304347826087,0.115146
Abcf2_2123,0.285714285714286,0.304878048780488,0.413678
Abcf2_2262,0.906976744186046,0.966292134831461,0.085998
Abhd11_1367,0.847826086956522,0.731707317073171,0.095313
Abhd17a_262,0.857142857142857,0.8125,0.309326
Abhd17a_1297,0.529411764705882,0.38,0.065364
Abhd17c_330,0.4,0.516129032258065,0.19024
Abhd17c_1073,0.525,0.560975609756098,0.367357
Abhd17c_1250,0.972222222222222,0.82051282051282,0.012011
Abhd17c_1434,0.363636363636364,0.577777777777778,0.032334
Abhd4_1571,0.434782608695652,0.45,0.446694
Abhd4_1864,0.652173913043478,0.565217391304348,0.220853
Abi1_981,0.347826086956522,0.56,0.050314
Abi1_1454,0.827586206896552,0.833333333333333,0.472469
Acaca_9358,0.608695652173913,0.625,0.438974
Acadm_1745,0.802816901408451,0.918367346938776,0.032076
Acadm_1876,0.485714285714286,0.472727272727273,0.444237
Acat2_1278,0.522727272727273,0.621951219512195,0.093817
Acin1_4368,0.530612244897959,0.469387755102041,0.305159
Acin1_4534,0.5,0.479166666666667,0.420328
Acp5_578,0.55,0.5,0.435721
Acsl3_2520,0.6,0.5,0.238667
Acsl3_2843,0.851851851851852,0.90625,0.268492
Acsl3_2863,0.517241379310345,0.580645161290323,0.351399
Actg1_584,0.949779735682819,0.943441636582431,0.271391
Actg1_1256,0.923485653560043,0.923423423423423,0.500304
Actn4_2980,0.636363636363636,0.626865671641791,0.463556
Actn4_3204,0.467741935483871,0.333333333333333,0.057281
Actr1a_2638,0.821428571428571,0.884615384615385,0.281966
Actr8_1483,0.666666666666667,0.428571428571429,0.050004
Add1_2165,0.65,0.772727272727273,0.193235
Add1_2690,0.923076923076923,0.909090909090909,0.421414
Add1_3436,0.269230769230769,0.342857142857143,0.270762
Add1_3557,0.645161290322581,0.707317073170732,0.293999
Add1_3683,0.52,0.387096774193548,0.160472
Adh5_1196,0.558252427184466,0.564516129032258,0.425498
Adipor1_2054,0.441860465116279,0.537037037037037,0.151573
Adipor2_3023,0.620689655172414,0.708333333333333,0.247758
Adipor2_3665,0.638888888888889,0.625,0.453009
Adpgk_1257,0.7,0.925925925925926,0.019431
Adpgk_1501,0.538461538461538,0.575757575757576,0.393985
Adpgk_1781,0.91304347826087,0.878787878787879,0.318297
Adpgk_2088,0.65,0.689655172413793,0.381572
Adpgk_2174,0.76,0.78125,0.431333
Adpgk_2255,0.777777777777778,0.852941176470588,0.216642
Adsl_1744,0.60377358490566,0.435897435897436,0.028365
Adss_1535,0.67948717948718,0.676923076923077,0.493769
Adss_1732,0.656716417910448,0.573529411764706,0.164708
Adss_1760,0.532467532467532,0.590909090909091,0.244481
Adss_1973,0.5,0.522388059701492,0.3957
Afg3l2_2473,0.451612903225806,0.433333333333333,0.448166
Afg3l2_3000,0.787878787878788,0.733333333333333,0.325049
Afg3l2_3069,0.592592592592593,0.607142857142857,0.444291
Aggf1_3110,0.666666666666667,0.666666666666667,0.023221
Agpat2_918,0.513513513513513,0.541666666666667,0.409572
Agpat2_1011,0.848484848484849,0.833333333333333,0.439567
Agpat2_1131,0.783783783783784,0.821428571428571,0.339248
Agpat2_1268,0.435897435897436,0.481481481481481,0.362729
Agtrap_633,0.705882352941177,0.636363636363636,0.252841
Agtrap_844,0.8,0.75,0.324193
Ahctf1_3015,0.7,0.590909090909091,0.21303
Ahctf1_5031,0.541666666666667,0.416666666666667,0.232802
Ahctf1_5049,0.96,0.928571428571429,0.389738
Ahctf1_5288,0.8,0.961538461538462,0.018326
Ahctf1_5495,0.708333333333333,0.9,0.040828
Ahctf1_5996,0.666666666666667,0.787878787878788,0.149404
Ahctf1_6178,0.666666666666667,0.794117647058823,0.130484
Ahctf1_6511,0.814814814814815,0.666666666666667,0.091747
Ahctf1_6557,0.645161290322581,0.542857142857143,0.193256
Ahctf1_6572,0.3125,0.305555555555556,0.472319
Ahctf1_6588,0.740740740740741,0.777777777777778,0.387158
Ahctf1_6848,0.46875,0.58974358974359,0.151744
Aimp2_902,0.68,0.636363636363636,0.325219
Aimp2_1156,0.529411764705882,0.705882352941177,0.081979
Ajuba_1126,0.636363636363636,0.904761904761905,0.017395
Ajuba_1868,0.692307692307692,0.714285714285714,0.428916
Ajuba_2117,0.870967741935484,0.777777777777778,0.142512
Ajuba_2377,0.866666666666667,0.815789473684211,0.290268
